textbox22,Textbox9,,,,,,,,,,,,,,,,,,,,
generated on 29/11/2020 14:52:32 UTC,Data from: All sites,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Algeria,African Region of WHO,Northern Africa,2009,10,3/2/09,3/8/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,11,3/9/09,3/15/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,12,3/16/09,3/22/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,13,3/23/09,3/29/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,14,3/30/09,4/5/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,15,4/6/09,4/12/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,16,4/13/09,4/19/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,17,4/20/09,4/26/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,18,4/27/09,5/3/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,19,5/4/09,5/10/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,20,5/11/09,5/17/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,21,5/18/09,5/24/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,22,5/25/09,5/31/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,23,6/1/09,6/7/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,24,6/8/09,6/14/09,,,,,,,,,,,,,,,No Report
Algeria,African Region of WHO,Northern Africa,2009,25,6/15/09,6/21/09,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Algeria,African Region of WHO,Northern Africa,2009,26,6/22/09,6/28/09,6,6,0,2,0,0,0,2,0,0,0,0,2,,Sporadic
Algeria,African Region of WHO,Northern Africa,2009,27,6/29/09,7/5/09,22,19,0,3,0,0,0,3,0,0,0,0,3,,Sporadic
Algeria,African Region of WHO,Northern Africa,2009,28,7/6/09,7/12/09,37,32,0,0,0,0,2,2,0,0,0,0,2,,Sporadic
Algeria,African Region of WHO,Northern Africa,2009,29,7/13/09,7/19/09,15,15,1,2,1,0,0,4,0,0,0,0,4,,Sporadic
Algeria,African Region of WHO,Northern Africa,2009,30,7/20/09,7/26/09,44,40,0,5,0,0,0,5,0,0,0,0,5,,Sporadic
Algeria,African Region of WHO,Northern Africa,2009,31,7/27/09,8/2/09,13,13,0,1,0,0,0,1,0,0,0,0,1,,Sporadic
Algeria,African Region of WHO,Northern Africa,2009,32,8/3/09,8/9/09,21,17,0,3,0,0,3,6,0,0,0,0,6,,Sporadic
Algeria,African Region of WHO,Northern Africa,2009,33,8/10/09,8/16/09,35,30,0,7,0,0,2,9,0,0,0,0,9,,Sporadic
