Date,Country,Cumulative no. of cases,Cumulative no. of deaths,Link
4/24/09,Mexico,18,0,https://www.who.int/csr/don/2009_04_24/en/
4/24/09,United States of America,7,0,https://www.who.int/csr/don/2009_04_24/en/
4/26/09,Mexico,18,0,https://www.who.int/csr/don/2009_04_24/en/
4/26/09,United States of America,20,0,https://www.who.int/csr/don/2009_04_24/en/
4/27/09,Canada,6,0,https://www.who.int/csr/don/2009_04_24/en/
4/27/09,Mexico,26,7,https://www.who.int/csr/don/2009_04_24/en/
4/27/09,Spain,1,0,https://www.who.int/csr/don/2009_04_24/en/
4/27/09,United States of America,40,0,https://www.who.int/csr/don/2009_04_24/en/
4/28/09,Canada,6,0,https://www.who.int/csr/don/2009_04_24/en/
4/28/09,Israel,2,0,https://www.who.int/csr/don/2009_04_24/en/
4/28/09,Mexico,26,7,https://www.who.int/csr/don/2009_04_24/en/
4/28/09,New Zealand,3,0,https://www.who.int/csr/don/2009_04_24/en/
4/28/09,Spain,2,0,https://www.who.int/csr/don/2009_04_24/en/
4/28/09,United Kingdom,2,0,https://www.who.int/csr/don/2009_04_24/en/
4/28/09,United States of America,64,0,https://www.who.int/csr/don/2009_04_24/en/
4/29/09,Austria,1,0,https://www.who.int/csr/don/2009_04_24/en/
4/29/09,Canada,13,0,https://www.who.int/csr/don/2009_04_24/en/
4/29/09,Germany,3,0,https://www.who.int/csr/don/2009_04_24/en/
4/29/09,Israel,2,0,https://www.who.int/csr/don/2009_04_24/en/
4/29/09,Mexico,26,7,https://www.who.int/csr/don/2009_04_24/en/
4/29/09,New Zealand,3,0,https://www.who.int/csr/don/2009_04_24/en/
4/29/09,Spain,5,0,https://www.who.int/csr/don/2009_04_24/en/
4/29/09,United Kingdom,5,0,https://www.who.int/csr/don/2009_04_24/en/
4/29/09,United States of America,91,1,https://www.who.int/csr/don/2009_04_24/en/
4/30/09,Austria,1,0,https://www.who.int/csr/don/2009_04_30_a/en/
4/30/09,Canada,19,0,https://www.who.int/csr/don/2009_04_30_a/en/
4/30/09,Germany,3,0,https://www.who.int/csr/don/2009_04_30_a/en/
4/30/09,Israel,2,0,https://www.who.int/csr/don/2009_04_30_a/en/
4/30/09,Mexico,97,7,https://www.who.int/csr/don/2009_04_30_a/en/
